\ This script generates Case-5 astrometry challenges. The telescope used in this
\ challenge is affected by distortion. Astronomical sources are retrived from
\ the Gaia EDR3 catalog, while observations fields are not in the Galactic
\ center region. In total, 10 fields are obtained for each distortion pattern. A
\ list of source positions on the focal plane and original ICRS coordinates is
\ provided. Solve the position angle and distortion parameters.
\distortion_K=(48.77725635611796,)
\distortion_S=(-1.43752271353587, -0.5569769299914513)
\distortion_T=(-55.31674870030141,)
\distortion_scale=1.0033126343140357
|                  x|                  y|                ra|                dec|field|
|             double|             double|            double|             double| long|
|                 um|                 um|               deg|                deg|     |
|               null|               null|              null|               null| null|
 -12940.663128224802  18037.353067101285 350.66317920782393  -33.32262543253729     0 
 -18629.687132767893  18446.021054080586 350.62242903616203 -33.298772841568706     0 
  12056.785629978489  17645.939763527054 350.84665803970756 -33.438228744036444     0 
   12546.82588866989  17421.356179368613  350.8515387364464 -33.439154840271506     0 
  17396.093613431924   16073.98019543796  350.8949150702498  -33.45334201445347     0 
   17912.39288794683  12823.281234741908  350.9170091761803   -33.4361657908605     0 
   17110.10943138571   13002.26937905758 350.91008781997937 -33.433578980618776     0 
  15460.547607420076  11838.577436159087  350.9044647637949 -33.418918338764485     0 
   6317.275735201376  20028.175946406507  350.7910554382808  -33.42566069690175     0 
   7698.356736485786  15970.277092961695  350.8236163196435  -33.40775618143936     0 
   4696.039437764149   13949.22335219833  350.8125532631241 -33.381226909583916     0 
  10601.311003581959  13109.872272078805 350.86119625526464 -33.404009767312814     0 
   5637.644610933134   8316.252440494618   350.851174708411  -33.35094174021759     0 
  17943.346023491515   6936.150237874658 350.95053042843915  -33.40036490552166     0 
  16177.947618196253   4851.815062078341 350.94931961045586  -33.37928126275895     0 
  14469.133764725995   6198.960735639438 350.92904229138344 -33.379626415399805     0 
  12925.453156781456  5612.4485404694005 350.92089939309557  -33.36872815866938     0 
  16853.604587400823 -2358.8098647123775 350.99487180956345  -33.33764104145065     0 
  18160.410167207898    -2945.5418809898 351.00767993608275 -33.340133337190366     0 
   6927.035400519683    5725.36541941573 350.87547739974406  -33.34096641509573     0 
  1272.3584257288942  19701.248258437256 350.75575148882876 -33.399880088461174     0 
 -1616.4731835973278  14906.295633281608  350.7607051231732  -33.35704621851504     0 
  2950.9947752054295   7886.295900032806  350.8335597851811  -33.33545427938251     0 
  1034.1419610903304    6655.45356526034 350.82623742050595  -33.31864853260369     0 
  -5819.441336141738  11029.786142563906  350.7514110059579  -33.31322462902934     0 
  -5708.031414480473  12600.615534952602  350.7435760654742  -33.32344138575265     0 
  -7089.709222951832   16608.33527448117  350.7118884656929  -33.34145969711977     0 
 -3597.1001475878716   9865.784692220617 350.77405237291794  -33.31655546160202     0 
  -5474.837407214415   4470.713213179323 350.79049210916384  -33.27418871583939     0 
  -6891.292233526004   4691.766151146158  350.7789103285607  -33.26891102567529     0 
  1222.0128933497024   1585.813056465835  350.8563306464018  -33.28792987469327     0 
    4297.47307960472  -8098.286066304997 350.93395994008495 -33.242471311632585     0 
    46.7391679909558    -9973.1544660364 350.91283275982624  -33.21101531285525     0 
  -3867.972209826466  2150.7982998366633  350.8153771151291 -33.267340993834914     0 
  -3091.589276790315  -2838.334672601761 350.84935439267736  -33.24006822370702     0 
  -5284.125896806106  -3828.376590724777  350.8387730509945  -33.22374314822808     0 
  -7832.302152860269 -3422.7124913869216 350.81779624830386 -33.214457352324764     0 
  -9101.068269753909  -9588.900870502623  350.8433141038056  -33.17131765185346     0 
 -7460.1948532947445 -10745.038479054507     350.8617781592 -33.171806787817175     0 
   17177.91199436579   -9182.88461494833 351.03486669484573  -33.29689876154803     0 
  16422.529929304474 -10833.458572927595  351.0383484821982 -33.283186103383706     0 
   15117.67865524437 -12898.594582207006 351.04002439658257  -33.26438847432104     0 
